Customer_ID,Store_ID,Transaction_Amount,Basket_Size,Visit_Day,Customer_Age
1,S001,79.18,6,Thu,43
2,S004,76.53,5,Fri,48
3,S002,96.41,7,Sun,52
4,S001,97.63,4,Tue,61
5,S004,87.47,1,Wed,32
6,S004,98.57,8,Wed,53
7,S004,46.27,4,Wed,22
8,S004,65.19,4,Fri,47
9,S002,77.5,6,Fri,41
10,S004,82.82,6,Sat,56
11,S002,79.2,8,Fri,25
12,S003,45.02,8,Sun,24
13,S001,85.83,8,Mon,66
14,S004,51.58,4,Wed,66
15,S003,99.37,6,Sun,22
16,S001,88.98,10,Mon,30
17,S001,100.37,4,Thu,50
18,S001,76.97,4,Sat,44
19,S003,77.05,2,Wed,42
20,S002,107.05,2,Tue,60
21,S003,81.6,6,Sun,67
22,S004,56.37,4,Wed,69
23,S004,49.45,6,Fri,35
24,S003,106.46,7,Sat,68
25,S001,89.52,7,Sun,51
26,S002,20.09,2,Sun,41
27,S002,120.38,6,Thu,61
28,S002,66.9,7,Sun,35
29,S002,110.62,9,Thu,61
30,S001,113.03,5,Mon,22
31,S002,68.56,6,Thu,63
32,S001,70.91,6,Mon,39
33,S004,77.98,9,Thu,25
34,S001,45.81,2,Sun,54
35,S004,44.97,3,Sat,26
36,S002,57.66,7,Mon,26
37,S003,79.25,6,Thu,34
38,S004,101.7,4,Fri,23
39,S004,107.63,1,Mon,26
40,S001,107.61,4,Fri,24
41,S003,66.24,11,Tue,45
42,S004,47.7,4,Thu,26
43,S001,45.98,0,Fri,41
44,S002,95.63,4,Thu,69
45,S004,91.29,7,Sun,41
46,S002,42.81,4,Thu,23
47,S004,89.66,4,Fri,61
48,S004,67.38,4,Sat,63
49,S003,86.54,3,Fri,18
50,S004,54.15,7,Fri,34
51,S001,40.45,3,Wed,30
52,S002,73.86,4,Mon,66
53,S002,99.51,8,Mon,56
54,S002,107.02,1,Sun,35
55,S004,83.41,7,Mon,19
56,S001,63.55,3,Fri,52
57,S004,69.69,8,Thu,34
