id,department,region,gender,education_level,years_experience,age,is_manager,work_hours_per_week,performance_rating,salary,monthly_sales
1,Tech,West,Male,Bachelors,5.4,39,0,40.0,2,73527.0,0.0
2,Operations,South,Female,Bachelors,2.1,40,0,47.7,3,45774.0,7353.0
3,Finance,North,Male,Bachelors,16.8,41,0,41.7,3,103869.0,6505.0
4,Tech,South,Male,High School,6.7,36,0,39.5,5,75929.0,4232.0
5,Sales,North,Female,High School,6.6,31,0,38.2,3,50906.0,24137.0
6,Sales,South,Male,Bachelors,6.4,33,0,39.6,3,54092.0,25250.0
7,Sales,East,Female,Bachelors,7.3,40,0,39.3,2,51109.0,14570.0
8,Operations,West,Female,Bachelors,5.9,27,0,41.8,2,70640.0,2949.0
9,HR,North,Male,Bachelors,4.2,34,0,41.7,3,48681.0,3423.0
10,Finance,North,Male,Masters,4.3,29,0,41.0,3,69106.0,2740.0
11,Sales,West,Male,High School,6.4,32,0,43.0,4,43740.0,25318.0
12,Operations,North,Male,Masters,4.3,40,0,46.4,3,44600.0,5725.0
13,Finance,North,Male,Bachelors,3.6,33,0,45.3,3,60202.0,5442.0
14,Sales,South,Female,High School,6.9,32,0,34.3,2,49984.0,12985.0
15,Sales,North,Male,Masters,5.5,23,0,30.0,4,45166.0,24542.0
16,Sales,East,Male,Masters,12.5,37,0,45.2,4,51461.0,17043.0
17,Tech,East,Female,High School,0.0,36,0,34.8,2,53124.0,6240.0
18,Tech,West,Male,Bachelors,10.9,46,0,40.0,4,82083.0,8110.0
19,Tech,North,Female,Masters,11.5,30,0,35.7,3,65743.0,11943.0
20,Sales,West,Male,Masters,0.0,33,0,32.9,2,48080.0,15765.0
21,HR,East,Male,Bachelors,5.1,34,0,43.4,3,54697.0,0.0
22,Sales,North,Female,Bachelors,5.0,42,0,44.4,3,36340.0,22235.0
23,Sales,North,Female,Bachelors,0.9,31,0,38.4,2,40606.0,28202.0
24,Tech,West,Female,Bachelors,3.4,34,0,30.0,5,65054.0,12456.0
25,Tech,East,Female,Bachelors,2.1,36,0,38.5,4,76350.0,7839.0
